Account,user_id,Date,Action,Symbol,Description,Quantity,Price,fees_and_comm,Amount
Demo Account,,01/16/2026 as of 01/15/2026,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,$0.10
Demo Account,,01/22/2026,Sell to Open,NVDA 02/20/2026 130.00 P,PUT NVIDIA CORP $130 EXP 02/20/26,1,$3.20,$0.66,$319.34
Demo Account,,02/03/2026,Sell to Open,MSFT 03/06/2026 405.00 P,PUT MICROSOFT CORP $405 EXP 03/06/26,1,$2.80,$0.66,$279.34
Demo Account,,02/15/2026,Cash Dividend,AAPL,APPLE INC,,,,$25.00
Demo Account,,02/15/2026,Cash Dividend,COST,COSTCO WHOLESALE CORP,,,,$91.00
Demo Account,,02/22/2026 as of 02/20/2026,Expired,AAPL 02/20/2026 220.00 P,PUT APPLE INC $220 EXP 02/20/26,1,,,
Demo Account,,02/22/2026 as of 02/20/2026,Expired,GOOGL 02/20/2026 165.00 P,PUT ALPHABET INC $165 EXP 02/20/26,1,,,
Demo Account,,02/22/2026 as of 02/20/2026,Expired,NVDA 02/20/2026 130.00 P,PUT NVIDIA CORP $130 EXP 02/20/26,1,,,
Demo Account,,02/24/2026,Sell to Open,AAPL 03/20/2026 225.00 C,CALL APPLE INC $225 EXP 03/20/26,1,$2.50,$0.66,$249.34
Demo Account,,02/24/2026,Sell to Open,NVDA 03/20/2026 140.00 C,CALL NVIDIA CORP $140 EXP 03/20/26,1,$2.10,$0.66,$209.34
Demo Account,,03/02/2026,Buy to Open,SPY 04/03/2026 540.00 P,PUT SPDR S&P 500 ETF $540 EXP 04/03/26,1,$4.50,$0.66,-$450.66
Demo Account,,03/06/2026 as of 03/06/2026,Expired,MSFT 03/06/2026 405.00 P,PUT MICROSOFT CORP $405 EXP 03/06/26,1,,,
Demo Account,,03/14/2026,Sell to Close,SPY 04/03/2026 540.00 P,PUT SPDR S&P 500 ETF $540 EXP 04/03/26,1,$1.20,$0.66,$119.34
Demo Account,,03/22/2026 as of 03/20/2026,Expired,AAPL 03/20/2026 225.00 C,CALL APPLE INC $225 EXP 03/20/26,1,,,
Demo Account,,03/22/2026 as of 03/20/2026,Expired,NVDA 03/20/2026 140.00 C,CALL NVIDIA CORP $140 EXP 03/20/26,1,,,
Demo Account,,03/24/2026,Sell to Open,COST 04/17/2026 820.00 P,PUT COSTCO WHOLESALE CORP $820 EXP 04/17/26,1,$4.20,$0.66,$419.34
Demo Account,,04/02/2026,Sell to Open,META 04/24/2026 555.00 C,CALL META PLATFORMS INC $555 EXP 04/24/26,1,$3.80,$0.66,$379.34
Demo Account,,04/04/2026,Sell to Open,GOOGL 05/01/2026 175.00 C,CALL ALPHABET INC $175 EXP 05/01/26,1,$2.10,$0.66,$209.34
Demo Account,,04/15/2026,Cash Dividend,AAPL,APPLE INC,,,,$25.00
Demo Account,,04/16/2026 as of 04/15/2026,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,$0.12
Demo Account,,04/19/2026 as of 04/17/2026,Expired,COST 04/17/2026 820.00 P,PUT COSTCO WHOLESALE CORP $820 EXP 04/17/26,1,,,
Demo Account,,04/24/2026,Sell to Open,NVDA 05/08/2026 210.00 C,CALL NVIDIA CORP $210 EXP 05/08/26,1,$1.50,$0.66,$149.34
Demo Account,,04/24/2026,Sell to Open,META 05/08/2026 625.00 C,CALL META PLATFORMS INC $625 EXP 05/08/26,1,$3.50,$0.66,$349.34
Demo Account,,04/26/2026 as of 04/24/2026,Expired,META 04/24/2026 555.00 C,CALL META PLATFORMS INC $555 EXP 04/24/26,1,,,
Demo Account,,04/30/2026,Sell to Open,AAPL 05/22/2026 260.00 P,PUT APPLE INC $260 EXP 05/22/26,1,$2.10,$0.66,$209.34
