Date,Action,Symbol,Description,Quantity,Price,fees_and_comm,Amount,
9/18/24,Sell to Close,LUNR 01/17/2025 5.00 C,CALL INTUITIVE MACHS INC$5 EXP 01/17/25,10,3.28,6.73,3273.27,
9/18/24,Sell to Close,AMD 09/20/2024 160.00 C,CALL ADVANCED MICRO DEVI$160 EXP 09/20/24,13,0.3,8.64,381.36,
9/18/24,Sell to Close,AMZN 09/20/2024 180.00 C,CALL AMAZON.COM INC $180 EXP 09/20/24,1,7.01,0.68,700.32,
8/29/24,Credit Interest,,SCHWAB1 INT 07/30-08/28,,,,1.71,
8/29/24,Margin Interest,,INTEREST 07/30THRU 08/28,,,,-10.9,
8/27/24,Buy to Open,NVDA 09/27/2024 133.00 C,CALL NVIDIA CORP $133 EXP 09/27/24,5,8.42,3.3,-4213.3,
8/27/24,Sell,CFLT,CONFLUENT INC CLASS A,400,20.93,0.3,8369.7,
8/27/24,Buy to Close,CFLT 09/20/2024 26.00 C,CALL CONFLUENT INC $26 EXP 09/20/24,4,0.1,2.64,-42.64,
8/27/24,Buy to Open,NVDA 09/20/2024 132.00 C,CALL NVIDIA CORP $132 EXP 09/20/24,10,8.03,6.61,-8033.61,
8/27/24,Sell to Close,DXCM 11/15/2024 90.00 C,CALL DEXCOM INC $90 EXP 11/15/24,10,1.96,6.69,1953.31,
8/27/24,Sell to Close,DXCM 11/15/2024 85.00 C,CALL DEXCOM INC $85 EXP 11/15/24,10,2.97,6.72,2963.28,
8/27/24,Sell to Close,PBI 09/13/2024 7.00 C,CALL PITNEY BOWES INC $7 EXP 09/13/24,50,0.39,33.24,1916.76,
8/21/24,Buy to Open,LUNR 01/17/2025 5.00 C,CALL INTUITIVE MACHS INC$5 EXP 01/17/25,10,2.13,6.61,-2136.61,
8/19/24,Buy to Open,RKLB 01/17/2025 7.00 C,CALL ROCKET LABORATORY U$7 EXP 01/17/25,45,2.15,29.74,-9704.74,
8/16/24,Buy to Open,ASTS 01/17/2025 50.00 C,CALL AST SPACEMOBILE INC$50 EXP 01/17/25,22,5.75,14.54,-12664.54,
8/16/24,Sell to Close,NVDA 09/06/2024 130.00 C,CALL NVIDIA CORP $130 EXP 09/06/24,12,5.23,8.13,6267.87,
8/16/24,Buy to Open,AMD 09/20/2024 160.00 C,CALL ADVANCED MICRO DEVI$160 EXP 09/20/24,13,3.98,8.59,-5182.59,
8/16/24,Sell to Close,ASTS 09/20/2024 25.00 C,CALL AST SPACEMOBILE INC$25 EXP 09/20/24,25,6.9,17.07,17232.93,
8/15/24,Buy to Open,NVDA 09/06/2024 130.00 C,CALL NVIDIA CORP $130 EXP 09/06/24,11,4.35,7.27,-4792.27,
8/15/24,Buy to Open,NVDA 09/06/2024 130.00 C,CALL NVIDIA CORP $130 EXP 09/06/24,1,4.21,0.66,-421.66,
8/14/24,Sell,KLAC,KLA CORP,10,798.22,0.22,7981.98,
8/13/24,Buy,KLAC,KLA CORP,10,768.2,,-7682,
8/13/24,Sell to Close,ONON 09/13/2024 41.00 C,CALL ON HOLDING AG $41 EXP 09/13/24,25,1.53,16.7,3808.3,
8/12/24,Buy to Open,PBI 09/13/2024 7.00 C,CALL PITNEY BOWES INC $7 EXP 09/13/24,50,0.6,33.05,-3033.05,
8/12/24,Buy to Open,DXCM 11/15/2024 90.00 C,CALL DEXCOM INC $90 EXP 11/15/24,10,2.06,6.61,-2066.61,
8/12/24,Buy to Open,DXCM 11/15/2024 85.00 C,CALL DEXCOM INC $85 EXP 11/15/24,10,3.04,6.61,-3046.61,
8/12/24,Sell to Close,KLAC 09/20/2024 850.00 C,CALL KLA CORP $850 EXP 09/20/24,5,11.43,3.47,5710.53,
8/12/24,Buy to Open,ONON 09/13/2024 41.00 C,CALL ON HOLDING AG $41 EXP 09/13/24,25,2.85,16.52,-7141.52,
8/12/24,Sell to Close,ATKR 11/15/2024 105.00 C,CALL ATKORE INC $105 EXP 11/15/24,10,5.39,6.79,5383.21,
8/12/24,Buy to Open,KLAC 09/20/2024 850.00 C,CALL KLA CORP $850 EXP 09/20/24,5,10,3.3,-5003.3,
8/8/24,Sell to Close,KLAC 08/30/2024 800.00 C,CALL KLA CORP $800 EXP 08/30/24,8,15.55,5.66,12434.34,
8/8/24,Buy to Open,ATKR 11/15/2024 105.00 C,CALL ATKORE INC $105 EXP 11/15/24,10,7.65,6.61,-7656.61,
8/8/24,Buy to Open,KLAC 08/30/2024 800.00 C,CALL KLA CORP $800 EXP 08/30/24,8,11.05,5.29,-8845.29,
8/6/24,Sell to Close,DXCM 09/13/2024 85.00 C,CALL DEXCOM INC $85 EXP 09/13/24,50,1.02,33.33,5066.67,
8/6/24,Sell to Close,JXN 09/20/2024 85.00 C,CALL JACKSON FINL INC $85 EXP 09/20/24,20,1.6,13.37,3186.63,
8/6/24,Sell to Close,KLAC 08/09/2024 750.00 C,CALL KLA CORP $750 EXP 08/09/24,10,7.6,6.85,7593.15,
8/6/24,Buy to Open,KLAC 08/09/2024 750.00 C,CALL KLA CORP $750 EXP 08/09/24,10,5.3,6.61,-5306.61,
8/6/24,Sell to Close,HIMS 09/06/2024 20.00 C,CALL HIMS & HERS HEALTH $20 EXP 09/06/24,15,0.6,9.98,890.02,
8/5/24,Buy to Open,HIMS 09/06/2024 20.00 C,CALL HIMS & HERS HEALTH $20 EXP 09/06/24,15,2.1,9.91,-3159.91,
8/5/24,Sell to Close,CELH 08/30/2024 43.00 P,PUT CELSIUS HOLDINGS INC$43 EXP 08/30/24,15,5.12,10.16,7669.84,
8/5/24,Buy to Open,ASTS 09/20/2024 25.00 C,CALL AST SPACEMOBILE INC$25 EXP 09/20/24,25,2.45,16.52,-6141.52,
8/2/24,Buy to Open,DXCM 09/13/2024 85.00 C,CALL DEXCOM INC $85 EXP 09/13/24,50,0.95,33.05,-4783.05,
8/2/24,Buy to Open,CELH 08/30/2024 43.00 P,PUT CELSIUS HOLDINGS INC$43 EXP 08/30/24,15,4.68,9.91,-7024.91,
8/2/24,Sell to Close,ASTS 08/30/2024 13.00 C,CALL AST SPACEMOBILE INC$13 EXP 08/30/24,20,6,13.61,11986.39,
8/2/24,Sell to Close,ASTS 02/21/2025 20.00 C,CALL AST SPACEMOBILE INC$20 EXP 02/21/25,10,5.47,6.79,5461.21,
8/2/24,Sell to Close,DJT 09/06/2024 28.00 P,PUT TRUMP MEDIA & TECHNO$28 EXP 09/06/24,5,5.04,3.38,2516.62,
8/2/24,Sell to Close,WING 09/20/2024 440.00 C,CALL WINGSTOP INC $440 EXP 09/20/24,3,3.34,2.02,999.98,
8/1/24,Buy to Close,CFLT 08/16/2024 28.00 C,CALL CONFLUENT INC $28 EXP 08/16/24,4,0.03,0.04,-12.04,
8/1/24,Sell to Open,CFLT 09/20/2024 26.00 C,CALL CONFLUENT INC $26 EXP 09/20/24,4,0.43,2.65,169.35,
7/30/24,Credit Interest,,SCHWAB1 INT 06/27-07/29,,,,2.79,
7/30/24,Margin Interest,,INTEREST 06/27THRU 07/29,,,,-12.1,
7/30/24,Buy to Open,ASTS 02/21/2025 20.00 C,CALL AST SPACEMOBILE INC$20 EXP 02/21/25,10,4.9,6.61,-4906.61,
7/30/24,Sell,NET,CLOUDFLARE INC CLASS A,100,77.23,0.23,7722.77,
7/30/24,Buy to Close,NET 08/02/2024 90.00 C,CALL CLOUDFLARE INC $90 EXP 08/02/24,1,1.43,0.66,-143.66,
7/29/24,Sell to Open,NET 08/02/2024 90.00 C,CALL CLOUDFLARE INC $90 EXP 08/02/24,1,1.45,0.66,144.34,
07/29/2024 as of 07/26/2024,Expired,NET 07/26/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 07/26/24,1,,,,
7/26/24,Buy to Open,DJT 09/06/2024 28.00 P,PUT TRUMP MEDIA & TECHNO$28 EXP 09/06/24,5,3.67,3.3,-1838.3,
7/25/24,Sell to Close,KLAC 08/23/2024 900.00 C,CALL KLA CORP $900 EXP 08/23/24,2,3.04,1.35,606.65,
7/25/24,Sell to Close,KLAC 08/23/2024 900.00 C,CALL KLA CORP $900 EXP 08/23/24,1,2.9,0.67,289.33,
7/25/24,Sell to Close,CMG 08/02/2024 60.00 C,CALL CHIPOTLE MEXICAN GR$60 EXP 08/02/24,5,0.05,3.31,21.69,
7/22/24,Sell to Open,CFLT 08/16/2024 28.00 C,CALL CONFLUENT INC $28 EXP 08/16/24,4,1.12,2.66,445.34,
7/22/24,Sell to Open,NET 07/26/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 07/26/24,1,0.98,0.66,97.34,
7/22/24,Buy to Open,KLAC 08/23/2024 900.00 C,CALL KLA CORP $900 EXP 08/23/24,3,9.75,1.98,-2926.98,
07/22/2024 as of 07/19/2024,Expired,CFLT 07/19/2024 30.00 C,CALL CONFLUENT INC $30 EXP 07/19/24,4,,,,
7/18/24,Sell to Close,NFLX 07/19/2024 720.00 C,CALL NETFLIX INC $720 EXP 07/19/24,1,5.74,0.68,573.32,
7/17/24,Sell to Close,CELH 07/26/2024 50.00 P,PUT CELSIUS HOLDINGS INC$50 EXP 07/26/24,20,1.82,13.38,3626.62,
7/16/24,Buy to Open,ASTS 08/30/2024 13.00 C,CALL AST SPACEMOBILE INC$13 EXP 08/30/24,20,2.14,13.22,-4293.22,
7/15/24,Buy to Open,JXN 09/20/2024 85.00 C,CALL JACKSON FINL INC $85 EXP 09/20/24,20,3.85,13.22,-7713.22,
7/8/24,Sell to Close,NVDA 07/19/2024 124.00 C,CALL NVIDIA CORP $124 EXP 07/19/24,5,6.78,3.4,3386.6,
7/3/24,Buy to Open,WING 09/20/2024 440.00 C,CALL WINGSTOP INC $440 EXP 09/20/24,3,27.28,1.98,-8185.98,
7/2/24,Journal,,JOURNAL TO 27029437,,,,-29759.71,
7/1/24,Buy to Open,CMG 08/02/2024 60.00 C,CALL CHIPOTLE MEXICAN GR$60 EXP 08/02/24,5,3.4,3.3,-1703.3,
6/28/24,Buy to Close,NET 06/28/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 06/28/24,1,6.1,0.66,-610.66,
6/27/24,Margin Interest,,INTEREST 05/30THRU 06/26,,,,-32.6,
6/27/24,Funds Received,,FUNDS RECEIVED,,,,9807.51,
6/27/24,Funds Received,,FUNDS RECEIVED,,,,19952.2,
6/25/24,Sell to Close,HIMS 07/19/2024 23.00 C,CALL HIMS & HERS HEALTH $23 EXP 07/19/24,10,1.8,6.69,1793.31,
6/25/24,Sell to Close,BA 11/15/2024 160.00 P,PUT BOEING CO $160 EXP 11/15/24,10,7.15,6.84,7143.16,
6/25/24,Sell to Close,CELH 07/19/2024 50.00 P,PUT CELSIUS HOLDINGS INC$50 EXP 07/19/24,20,1.14,13.34,2266.66,
6/25/24,Buy to Open,CELH 07/26/2024 50.00 P,PUT CELSIUS HOLDINGS INC$50 EXP 07/26/24,20,1.55,13.22,-3113.22,
6/25/24,Sell to Open,CFLT 07/19/2024 30.00 C,CALL CONFLUENT INC $30 EXP 07/19/24,4,0.25,2.65,97.35,
06/24/2024 as of 06/21/2024,Expired,CFLT 06/21/2024 32.00 C,CALL CONFLUENT INC $32 EXP 06/21/24,4,,,,
6/21/24,Buy to Open,NFLX 07/19/2024 720.00 C,CALL NETFLIX INC $720 EXP 07/19/24,1,20.3,0.66,-2030.66,
6/21/24,Buy to Open,CELH 07/19/2024 50.00 P,PUT CELSIUS HOLDINGS INC$50 EXP 07/19/24,20,0.42,13.22,-853.22,
6/21/24,Buy to Open,BA 11/15/2024 160.00 P,PUT BOEING CO $160 EXP 11/15/24,10,6.7,6.61,-6706.61,
6/21/24,Buy to Open,HIMS 07/19/2024 23.00 C,CALL HIMS & HERS HEALTH $23 EXP 07/19/24,10,1.45,6.61,-1456.61,
6/21/24,Buy to Close,NET 06/21/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 06/21/24,1,0.32,0.66,-32.66,
6/21/24,Sell to Open,NET 06/28/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 06/28/24,1,1.63,0.66,162.34,
6/21/24,Sell to Close,NVO 06/21/2024 138.00 C,CALL NOVO-NORDISK AS VOR$138 EXP 06/21/24,4,3.88,2.69,1549.31,
6/21/24,Sell to Close,ASTS 07/19/2024 12.50 C,CALL AST SPACEMOBILE INC$12.5 EXP 07/19/24,10,0.65,6.66,643.34,
6/21/24,Sell to Close,DJT 06/21/2024 30.00 P,PUT TRUMP MEDIA & TECHNO$30 EXP 06/21/24,3,4.45,2.03,1332.97,
6/21/24,Sell to Close,KLAC 06/21/2024 800.00 C,CALL KLA CORP $800 EXP 06/21/24,2,18.71,1.43,3740.57,
6/17/24,Buy to Open,ASTS 07/19/2024 12.50 C,CALL AST SPACEMOBILE INC$12.5 EXP 07/19/24,10,1.65,6.61,-1656.61,
6/10/24,Sell,RBLX,ROBLOX CORP CLASS A,1,35.03,,35.03,
6/10/24,Buy to Open,NVDA 07/19/2024 124.00 C,CALL NVIDIA CORP $124 EXP 07/19/24,5,6.45,3.3,-3228.3,
5/30/24,Margin Interest,,INTEREST 04/29THRU 05/29,,,,-21.25,
5/29/24,Buy to Open,NVO 06/21/2024 138.00 C,CALL NOVO-NORDISK AS VOR$138 EXP 06/21/24,4,1.65,2.64,-662.64,
5/28/24,Buy to Open,KLAC 06/21/2024 800.00 C,CALL KLA CORP $800 EXP 06/21/24,2,20,1.32,-4001.32,
5/28/24,Sell,UNIT,UNITI GROUP INC,300,3.2,0.08,959.95,
5/28/24,Sell to Open,NET 06/21/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 06/21/24,1,1.74,0.66,173.34,
5/28/24,Sell to Open,CFLT 06/21/2024 32.00 C,CALL CONFLUENT INC $32 EXP 06/21/24,4,0.53,2.66,209.34,
5/28/24,Sell to Close,HIMS 11/15/2024 15.00 C,CALL HIMS & HERS HEALTH $15 EXP 11/15/24,10,5.9,6.8,5893.2,
05/28/2024 as of 05/24/2024,Expired,NET 05/24/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 05/24/24,1,,,,
05/20/2024 as of 05/17/2024,Expired,CFLT 05/17/2024 33.00 C,CALL CONFLUENT INC $33 EXP 05/17/24,4,,,,
05/20/2024 as of 05/17/2024,Expired,UNIT 05/17/2024 6.00 C,CALL UNITI GROUP INC $6 EXP 05/17/24,3,,,,
5/15/24,Sell to Open,NET 05/24/2024 77.00 C,CALL CLOUDFLARE INC $77 EXP 05/24/24,1,0.68,0.66,67.34,
5/15/24,Buy to Open,HIMS 11/15/2024 15.00 C,CALL HIMS & HERS HEALTH $15 EXP 11/15/24,10,2.35,6.61,-2356.61,
05/06/2024 as of 05/03/2024,Expired,NET 05/03/2024 94.00 C,CALL CLOUDFLARE INC $94 EXP 05/03/24,1,,,,
4/29/24,Credit Interest,,SCHWAB1 INT 03/27-04/28,,,,3.35,
4/29/24,Margin Interest,,INTEREST 03/27THRU 04/28,,,,-1,
4/24/24,Buy,UNIT,UNITI GROUP INC,300,5.91,,-1773,
4/24/24,Sell to Open,UNIT 05/17/2024 6.00 C,CALL UNITI GROUP INC $6 EXP 05/17/24,3,0.44,1.99,130.01,
4/23/24,Buy to Open,DJT 06/21/2024 30.00 P,PUT TRUMP MEDIA & TECHNO$30 EXP 06/21/24,3,10.65,1.98,-3196.98,
4/23/24,Sell to Open,CFLT 05/17/2024 33.00 C,CALL CONFLUENT INC $33 EXP 05/17/24,4,1.2,2.65,477.35,
04/22/2024 as of 04/19/2024,Expired,CFLT 04/19/2024 34.00 C,CALL CONFLUENT INC $34 EXP 04/19/24,4,,,,
4/18/24,Buy,NET,CLOUDFLARE INC CLASS A,100,87.73,,-8773,
4/18/24,Sell to Open,NET 05/03/2024 94.00 C,CALL CLOUDFLARE INC $94 EXP 05/03/24,1,3.87,0.66,386.34,
3/20/24,Sell to Open,CFLT 04/19/2024 34.00 C,CALL CONFLUENT INC $34 EXP 04/19/24,4,0.7,2.65,277.35,
3/20/24,Buy to Open,DWAC 01/17/2025 42.50 C,CALL DIGITAL WORLD ACQUI$42.5 EXP 01/17/25,5,13.6,3.3,-6803.3,
03/18/2024 as of 03/15/2024,Expired,CFLT 03/15/2024 36.00 C,CALL CONFLUENT INC $36 EXP 03/15/24,4,,,,
2/28/24,Credit Interest,,SCHWAB1 INT 01/30-02/27,,,,0.1,
2/27/24,Bank Interest,,BANK INT …1624-022624 SCHWAB BANK,,,,2.1,
2/23/24,Sell to Open,CFLT 03/15/2024 36.00 C,CALL CONFLUENT INC $36 EXP 03/15/24,4,0.48,2.65,189.35,
2/23/24,Buy,CFLT,CONFLUENT INC CLASS A,400,33.22,,-13288,
02/20/2024 as of 02/16/2024,Sell,CFLT,CONFLUENT INC CLASS A,400,27,0.16,10799.84,
02/20/2024 as of 02/16/2024,Sell,ATEC,ALPHATEC HOLDINGS,100,15,0.03,1499.97,
02/20/2024 as of 02/16/2024,Assigned,CFLT 02/16/2024 27.00 C,CALL CONFLUENT INC $27 EXP 02/16/24,4,,,,
02/20/2024 as of 02/16/2024,Assigned,ATEC 02/16/2024 15.00 C,CALL ALPHATEC HOLDINGS $15 EXP 02/16/24,1,,,,
02/16/2024 as of 02/15/2024,Bank Interest,,BANK INT …1624-021524 SCHWAB BANK,,,,2.69,
2/6/24,Sell to Open,CFLT 02/16/2024 27.00 C,CALL CONFLUENT INC $27 EXP 02/16/24,4,0.85,2.65,337.35,
1/30/24,Margin Interest,,INTEREST 12/28THRU 01/29,,,,-0.38,
01/22/2024 as of 01/19/2024,Expired,CFLT 01/19/2024 27.00 C,CALL CONFLUENT INC $27 EXP 01/19/24,4,,,,
01/22/2024 as of 01/19/2024,Assigned,NET 01/19/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 01/19/24,1,,,,
01/22/2024 as of 01/19/2024,Sell,NET,CLOUDFLARE INC CLASS A,100,80,0.08,7999.92,
1/16/24,Sell to Open,NET 01/19/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 01/19/24,1,0.78,0.66,77.34,
01/16/2024 as of 01/15/2024,Bank Interest,,BANK INT …1623-011524 SCHWAB BANK,,,,0.54,
01/16/2024 as of 01/12/2024,Expired,NET 01/12/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 01/12/24,1,,,,
1/8/24,Sell to Open,ATEC 02/16/2024 15.00 C,CALL ALPHATEC HOLDINGS $15 EXP 02/16/24,1,0.9,0.66,89.34,
1/8/24,Sell to Open,NET 01/12/2024 80.00 C,CALL CLOUDFLARE INC $80 EXP 01/12/24,1,0.99,0.66,98.34,
01/02/2024 as of 12/29/2023,Expired,NET 12/29/2023 87.00 C,CALL CLOUDFLARE INC $87 EXP 12/29/23,1,,,,
12/28/23,Margin Interest,,INTEREST 11/29THRU 12/27,,,,-2.79,
12/27/23,Sell to Open,NET 12/29/2023 87.00 C,CALL CLOUDFLARE INC $87 EXP 12/29/23,1,0.53,0.66,52.34,
12/27/23,Sell,PRPL,PURPLE INNOVATION L L C,1000,1.01,0.16,1011.04,
12/26/2023 as of 12/22/2023,Expired,NET 12/22/2023 89.00 C,CALL CLOUDFLARE INC $89 EXP 12/22/23,1,,,,
12/19/23,Sell to Open,CFLT 01/19/2024 27.00 C,CALL CONFLUENT INC $27 EXP 01/19/24,4,0.84,2.65,333.35,
12/19/23,Sell to Open,NET 12/22/2023 89.00 C,CALL CLOUDFLARE INC $89 EXP 12/22/23,1,0.56,0.66,55.34,
12/19/23,Buy,NET,CLOUDFLARE INC CLASS A,100,86.09,,-8609,
12/18/2023 as of 12/15/2023,Bank Interest,,BANK INT …1623-121523 SCHWAB BANK,,,,2.13,
11/20/2023 as of 11/17/2023,Assigned,CFLT 11/17/2023 19.00 C,CALL CONFLUENT INC $19 EXP 11/17/23,2,,,,
11/20/2023 as of 11/17/2023,Sell,CFLT,CONFLUENT INC CLASS A,200,19,0.06,3799.94,
11/16/2023 as of 11/15/2023,Bank Interest,,BANK INT …1623-111523 SCHWAB BANK,,,,1.61,
11/6/23,Buy,CFLT,CONFLUENT INC CLASS A,200,17.9,,-3580,
11/6/23,Sell to Open,CFLT 11/17/2023 19.00 C,CALL CONFLUENT INC $19 EXP 11/17/23,2,0.4,1.32,78.68,
10/30/23,Margin Interest,,INTEREST 09/28THRU 10/29,,,,-5.72,
10/23/2023 as of 10/20/2023,Expired,CFLT 10/20/2023 36.00 C,CALL CONFLUENT INC $36 EXP 10/20/23,4,,,,
10/16/2023 as of 10/15/2023,Bank Interest,,BANK INT …1623-101523 SCHWAB BANK,,,,0.86,
10/02/2023 as of 09/29/2023,Assigned,COIN 09/29/2023 73.00 C,CALL COINBASE GLOBAL INC$73 EXP 09/29/23,1,,,,
10/02/2023 as of 09/29/2023,Sell,COIN,COINBASE GLOBAL INC CLASS A,100,73,0.07,7299.93,
9/28/23,Margin Interest,,INTEREST 08/30THRU 09/27,,,,-11.96,
9/25/23,Sell to Open,COIN 09/29/2023 73.00 C,CALL COINBASE GLOBAL INC$73 EXP 09/29/23,1,1.33,0.66,132.34,
09/25/2023 as of 09/22/2023,Expired,COIN 09/22/2023 84.00 C,CALL COINBASE GLOBAL INC$84 EXP 09/22/23,1,,,,
09/18/2023 as of 09/15/2023,Bank Interest,,BANK INT …1623-091523 SCHWAB BANK,,,,1.6,
9/15/23,Buy,COIN,COINBASE GLOBAL INC CLASS A,100,80.7,,-8070,
9/15/23,Sell to Open,COIN 09/22/2023 84.00 C,CALL COINBASE GLOBAL INC$84 EXP 09/22/23,1,1.32,0.66,131.34,
9/15/23,Buy to Open,AMZN 09/20/2024 180.00 C,CALL AMAZON.COM INC $180 EXP 09/20/24,1,8.06,0.66,-806.66,
9/15/23,Sell to Open,CFLT 10/20/2023 36.00 C,CALL CONFLUENT INC $36 EXP 10/20/23,4,0.63,2.65,249.35,
9/15/23,Buy to Close,CFLT 09/15/2023 35.00 C,CALL CONFLUENT INC $35 EXP 09/15/23,4,0.05,2.64,-22.64,
8/16/23,Sell to Open,CFLT 09/15/2023 35.00 C,CALL CONFLUENT INC $35 EXP 09/15/23,4,1.3,2.64,517.36,
8/16/23,Buy to Close,CFLT 08/18/2023 37.00 C,CALL CONFLUENT INC $37 EXP 08/18/23,4,0.12,2.64,-50.64,
08/16/2023 as of 08/15/2023,Bank Interest,,BANK INT …1623-081523 SCHWAB BANK,,,,2.6,
7/26/23,Buy,CFLT,CONFLUENT INC CLASS A,400,34.68,,-13872,
7/26/23,Sell to Open,CFLT 08/18/2023 37.00 C,CALL CONFLUENT INC $37 EXP 08/18/23,4,1.78,2.66,709.34,
07/24/2023 as of 07/21/2023,Sell,CFLT,CONFLUENT INC CLASS A,100,35,0.04,3499.96,
07/24/2023 as of 07/21/2023,Assigned,CFLT 07/21/2023 35.00 C,CALL CONFLUENT INC $35 EXP 07/21/23,1,,,,
07/17/2023 as of 07/15/2023,Bank Interest,,BANK INT …1623-071523 SCHWAB BANK,,,,4.21,
6/16/23,Sell to Open,CFLT 07/21/2023 35.00 C,CALL CONFLUENT INC $35 EXP 07/21/23,1,2.26,0.66,225.34,
6/16/23,Buy to Close,CFLT 06/16/2023 34.00 C,CALL CONFLUENT INC $34 EXP 06/16/23,1,0.65,0.66,-65.66,
6/16/23,Sell to Open,CFLT 06/16/2023 34.00 C,CALL CONFLUENT INC $34 EXP 06/16/23,1,0.72,0.66,71.34,
6/16/23,Buy to Close,CFLT 06/16/2023 30.00 C,CALL CONFLUENT INC $30 EXP 06/16/23,1,4.71,0.66,-471.66,
06/16/2023 as of 06/15/2023,Bank Interest,,BANK INT …1623-061523 SCHWAB BANK,,,,2.65,
05/30/2023 as of 05/26/2023,Assigned,AFRM 05/26/2023 13.50 C,CALL AFFIRM HLDGS INC $13.5 EXP 05/26/23,6,,,,
05/30/2023 as of 05/26/2023,Sell,AFRM,AFFIRM HLDGS INC CLASS A,600,13.5,0.15,8099.85,
5/19/23,Sell to Open,CFLT 06/16/2023 30.00 C,CALL CONFLUENT INC $30 EXP 06/16/23,1,0.87,0.66,86.34,
5/19/23,Buy to Close,CFLT 05/19/2023 24.00 C,CALL CONFLUENT INC $24 EXP 05/19/23,1,3.47,0.66,-347.66,
5/19/23,Sell to Open,AFRM 05/26/2023 13.50 C,CALL AFFIRM HLDGS INC $13.5 EXP 05/26/23,6,0.81,3.97,483.03,
5/19/23,Buy to Close,AFRM 05/19/2023 11.50 C,CALL AFFIRM HLDGS INC $11.5 EXP 05/19/23,6,2.27,3.96,-1366.96,
05/16/2023 as of 05/15/2023,Bank Interest,,BANK INT …1623-051523 SCHWAB BANK,,,,1.12,
5/12/23,Buy to Close,AFRM 05/12/2023 10.00 C,CALL AFFIRM HLDGS INC $10 EXP 05/12/23,6,1.92,3.96,-1155.96,
5/12/23,Sell to Open,AFRM 05/19/2023 11.50 C,CALL AFFIRM HLDGS INC $11.5 EXP 05/19/23,6,0.82,3.97,488.03,
05/09/2023 as of 05/04/2023,Unissued Rights Redemption,PRPL,PURPLE INNOVATION L L C,,,,1,
5/3/23,Buy to Close,CFLT 05/19/2023 28.00 C,CALL CONFLUENT INC $28 EXP 05/19/23,1,0.15,0.66,-15.66,
5/3/23,Sell to Open,CFLT 05/19/2023 24.00 C,CALL CONFLUENT INC $24 EXP 05/19/23,1,0.53,0.66,52.34,
